,,,Steinkohle (roh),Steinkohle (Briketts),Steinkohle (Koks),Steinkohle (sonstige),Braunkohle (roh),Braunkohle (Briketts),Braunkohle (sonstige),Erdöl,Rohbenzin,Ottokraftstoffe,Dieselkraftstoffe,Flugturbinenkraftstoffe,Heizöl (leicht),Heizöl (schwer),Petrolkoks,Mineralölprodukte (sonstige),Flüssiggas,Raffineriegas,"Kokereigas, Stadtgas","Gichtgas, Konvertergas",Erdgas,Grubengas,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse,Biotreibstoff,Abfälle (biogen),EE (sonstige),Strom,Kernenergie,Fernwärme,Abfälle (nicht biogen),andere Energieträger,Insgesamt
2012,MV,Küsten und Binnenschiffahrt,,,,,,,,,,,171.8,,,,,,,,,,,,,,,,10.3,,,,,,,,,182.2
2012,MV,Verkehr insgesamt,,,,,,,,,,16110.9,26076.7,214.0,,,,,585.5,,,,100.6,,,,,,2338.3,,,,933.6,,,,,46359.6
2012,MV,Haushalte,,,,,,,,,,,,,,,,,,,,,17456.8,,,,,,2146.4,,,566.1,8176.5,,5797.7,,,34143.5
2012,MV,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",,,,,,,,,,,5842.6,,,,,,,,,,8104.9,,,,,,366.4,,,,8396.1,,2829.3,,,25539.3
2012,MV,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",,,,,,951.5,373.4,,,435.4,5842.6,,8607.0,,,,2686.9,,,,25561.7,,,,,187.2,2512.8,,,566.1,16572.6,,8627.0,,,72924.2
2013,MV,Endenergieverbrauch,128.6,,104.2,,1014.8,684.9,,,,16023.8,32702.4,148.7,9481.0,36.3,,4.9,3483.5,,,,35033.8,,,,,205.2,9044.8,,,601.0,24475.1,,10217.1,,,143390.1
2013,MV,Gewinngung und verarbeitendes Gewerbe,110.2,,104.2,,2.5,451.0,,,,,95.7,,407.3,36.3,,4.9,25.6,,,,7676.9,,,,,,4472.8,,,,6393.5,,2304.3,,,22085.2
2013,MV,Schienenverkehr,,,,,,,,,,,1202.9,,,,,,,,,,,,,,,,72.8,,,,1077.0,,,,,2352.7
2013,MV,Straßenverkehr,,,,,,,,,,15588.4,25819.0,,,,,,574.3,,,,121.5,,,,,,2351.4,,,,,,,,,44454.6
2013,MV,Luftverkehr,,,,,,,,,,,,148.7,,,,,,,,,,,,,,,,,,,,,,,,148.7
